order_id,store_name,packaged_time,created_At,total
QC_IN_405-2799355-5147506,TBI6,1773940120266,2026-03-19T22:35:44.000Z,5
QC_IN_404-6634215-9111552,TBI9,,2026-03-19T22:32:01.000Z,1
QC_IN_408-9341155-2724305,TBH8,1773939697614,2026-03-19T22:23:36.000Z,5
QC_IN_404-8309710-2957105,TBH8,1773939488693,2026-03-19T22:22:39.000Z,1
QC_IN_408-8933249-0542740,TBI9,1773939978931,2026-03-19T22:30:44.000Z,7
QC_IN_408-3408153-5487539,TBI3,1773939871172,2026-03-19T22:31:59.000Z,11
QC_IN_404-7155034-3161934,TBI7,1773939740655,2026-03-19T22:31:20.000Z,3
QC_IN_404-9734162-6153112,TBI8,1773939676336,2026-03-19T22:29:43.000Z,5
QC_IN_171-1320227-4665116,TBH8,1773939515058,2026-03-19T22:16:29.000Z,10
QC_IN_403-8639862-8383550,TBJ2,1773939545183,2026-03-19T22:27:35.000Z,1
QC_IN_407-2057699-2193964,TBI8,1773939438844,2026-03-19T22:26:12.000Z,2
QC_IN_408-9622910-5557112,TBI7,1773939762074,2026-03-19T22:28:32.000Z,6
QC_IN_408-8960270-6513133,TBJ1,1773939826789,2026-03-19T22:33:04.000Z,1
QC_IN_406-4620094-9165151,TBI8,1773939828525,2026-03-19T22:32:02.000Z,8
QC_IN_405-6294270-0106727,TBJ2,1773939536884,2026-03-19T22:27:32.000Z,3
QC_IN_408-8605448-6792315,TBI8,1773939799509,2026-03-19T22:31:54.000Z,2
QC_IN_171-0841519-1697143,TBJ3,1773939848725,2026-03-19T22:30:33.000Z,5
QC_IN_407-4270201-3678760,TBI6,1773939879395,2026-03-19T22:32:29.000Z,6
QC_IN_402-6138971-4075523,TBI4,1773939702081,2026-03-19T22:28:54.000Z,5
QC_IN_402-2381190-1492341,TBJ1,1773939698305,2026-03-19T22:30:14.000Z,3
QC_IN_408-4121881-2613124,TBJ1,1773939557681,2026-03-19T22:27:16.000Z,4
QC_IN_403-2169667-4103536,TBJ1,1773939516819,2026-03-19T22:26:07.000Z,16
QC_IN_406-4656925-8292332,TBI6,1773939894476,2026-03-19T22:32:21.000Z,4
QC_IN_171-0380558-3180323,TBH8,1773939401012,2026-03-19T22:21:26.000Z,3
QC_IN_171-7833587-0495526,TBI6,1773939500944,2026-03-19T22:26:48.000Z,5
QC_IN_171-9453401-3554719,TBI7,1773939633728,2026-03-19T22:26:07.000Z,12
QC_IN_404-8355027-6535535,TBH8,1773939218425,2026-03-19T22:14:32.000Z,1
QC_IN_171-5281388-3203547,TBI6,1773939639253,2026-03-19T22:29:14.000Z,1
QC_IN_403-7467686-8817109,TBI3,1773939633740,2026-03-19T22:29:07.000Z,6
QC_IN_404-4880075-0702713,TBH8,1773939335435,2026-03-19T22:21:21.000Z,1
QC_IN_404-1280134-8689956,TBJ3,1773939520505,2026-03-19T22:25:49.000Z,4
